id,url,bookTitle,bookImage,bookAuthors
40,https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636l/21787.jpg,William Goldman
41,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107.jpg,J.D. Salinger
42,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635l/2998.jpg,Frances Hodgson Burnett
43,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969l/128029.jpg,Khaled Hosseini
44,https://www.goodreads.com/book/show/18131.A_Wrinkle_in_Time,A Wrinkle in Time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329061522l/18131.jpg,Madeleine L'Engle
45,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,The Lightning Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187.jpg,Rick Riordan
46,https://www.goodreads.com/book/show/4381.Fahrenheit_451,Fahrenheit 451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740l/4381.jpg,"Ray Bradbury,Alfredo Crespo"
47,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234l/13496.jpg,George R.R. Martin
48,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956.jpg,"Mark Twain,Guy Cardwell,John Seelye,Walter Trier"
49,https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938.jpg,Alice Sebold
50,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560l/19543.jpg,Maurice Sendak
51,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100l/23772.jpg,Dr. Seuss
52,https://www.goodreads.com/book/show/231804.The_Outsiders,The Outsiders,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426l/231804.jpg,S.E. Hinton
53,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005l/4214.jpg,Yann Martel
54,https://www.goodreads.com/book/show/1381.The_Odyssey,The Odyssey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg,"Homer,Robert Fagles,Bernard Knox"
55,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523l/1953.jpg,"Charles Dickens,Richard Maxwell"
56,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973l/43641._SY475_.jpg,Sara Gruen
57,https://www.goodreads.com/book/show/7604.Lolita,Lolita,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377l/7604.jpg,"Vladimir Nabokov,Craig Raine"
58,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606208827l/4981._SY475_.jpg,Kurt Vonnegut Jr.
59,https://www.goodreads.com/book/show/18490.Frankenstein,Frankenstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381512375l/18490.jpg,"Mary Wollstonecraft Shelley,Percy Bysshe Shelley,Maurice Hindle"
60,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY475_.jpg,"Khaled Hosseini,Berliani M. Nugrahani"
61,https://www.goodreads.com/book/show/168668.Catch_22,Catch-22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317l/168668.jpg,Joseph Heller
62,https://www.goodreads.com/book/show/3636.The_Giver,The Giver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368l/3636.jpg,Lois Lowry
63,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,The Handmaid's Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274l/38447._SY475_.jpg,Margaret Atwood
